src_id,zh,vi
256,写给自己的第256封信 你能多快搞定自己的情绪， 就能多快得到成长。,Bức thư viết cho chính mình số 256 Bạn càng kiếm soát tốt cảm xúc bao nhiêu thì bạn càng trường thành hơn bấy nhiêu.
256,脾气会赶走运气。,Nóng giận sẽ xua đuối mất những sự may mắn.
257,今天的泪水， 今天的伤痕，会是你明天的坚强。,Giọt nước mắt hôm nay sẽ là sự trưởng thành của ngày mai.
267,很多改变， 不需要自己说。,Có những sự thay đối không cần tự mình phải nói thành lời bạn nhé.
273,写给自己的第273封信 不要羡慕别人比你成熟。,Bức thư viết cho chính mình số 273 Không cần hâm mộ người khác chín chắn hơn bạn.
280,并非看他能做什么， 一个人真正的强大， 而是看他能 承担什么。,Một người thực sự mạnh mẽ không phải qua việc nhìn thấy anh ta làm những gì mà phải xem anh ta có thể gánh vác được những gì.
284,写给自己的第284封信 成长的很大一部分是接受， 接受世事无常， 接受分道扬镳， 接受孤 接受自己的缺点。,"Bức thư viết cho chính mình số 284 Một phần lớn trong sự trưởng thành là chấp nhận: Chấp nhận một người một ngả, chấp nhận thế sự vô thường và chấp nhận điểm yếu của chính mình."
290,写给自己的第290封信 从内打破是生命。,Bức thư viết cho chính mình số 290 | trong đó là một sinh mệnh.
302,写给自己的第302封信 今年再大的事， 到了明天就是小事； 今天再大的事， 到了明年就是 故事。,Bức thư viết cho chính mình số 302 Việc hôm nay có lớn đến đâu đến ngày hôm sau cũng trở thành chuyện nhỏ.
308,写给自己的第308封信 每个人真正强大起来都要度过一段没人帮忙， 没人支持的日子。,Bức thư viết cho chính mình số 308 Mỗi người thực sự mạnh mẽ hơn đều đòi hỏi phải trải qua khoảng thời gian không ai giúp đỡ cũng không ai ủng hộ mình.
332,写给自己的第332封信 从现在起不要有任何联系， 失去一个人， 如果对方主动联系你， 说明 心里还有你； 情淡了， 也就没有联系的必要了。,Bức thư viết cho chính mình số 332 Mất một người thì từ giờ cũng đừng có bất kì liên hệ nào.
337,写给自己的第337封信 那个让你流泪的， 是最爱你的人。,Bức thư viết cho chính mình số 337 Người làm cho bạn khóc là người bạn yêu.
337,那个懂你眼泪的， 是你最爱的人。,Người hiểu được những giọt nước mắt của bạn là người yêu bạn.
340,写给自己的第340封信 在这 等于拥有了一个你并不在乎的世界， 找一个你不爱而爱你的人， 等于放 你只能过起本不是你的人生。,Bức thư viết cho chính mình số 340 Tìm một người bạn không yêu mà yêu đồng nghĩa với việc bạn đang sở hữu một thế giới mà bạn chẳng quan tâm đến nó.
345,写给自己的第345封信 准备好了吗？,"Bức thư viết cho chính mình số 345 Cô gái ơi, bạn đã sẵn sàng chưa?"
346,——想要别人爱 前提是先好好爱自己。,Muốn người khác yêu bạn trước đó bạn cần phải yêu chính bản thân mình đã.
352,写给自己的第352封信 算不算爱情？,Bức thư viết cho chính mình số 352 Cái gọi là tình yêu nó sẽ trông như thế nào?
353,写给自己的第353封信 是经营好自己， 给对方一个优质的爱人。,Bức thư viết cho chính mình số 353 Cách tốt nhất đế yêu một người là tu dưỡng bản thân rồi dành tặng cho người kia một tình yêu tuyệt vời.
360,写给自己的第360封信 是离开对方生 是没法退回去做朋友的。,Bức thư viết cho chính mình số 360 Những người từng yêu thật lòng sẽ không thể quay lại làm bạn bè.
363,一个不懂你的人， 一个懂你的人， 才是真的缘 日久生情， 人生中， 让你懂得一个道理: 比爱， 更重要。,"Một người không hiểu bạn đến cuối cùng sẽ cho bạn hiểu một đạo lí: Trong cuộc sống, hiểu, so với tình yêu quan trọng hơn."
364,写给自己的第364封信 错过一 不要去骗一个喜欢你的人。,Bức thư viết cho chính mình số 364 Đừng nói dối một người thích bạn.
366,写给自己的第366封信 没有谁会教你怎样去爱一个人，- 大概最好的状态 如何去忘一个人。,Bức thư viết cho chính mình số 366 Không ai có thể dạy cho bạn làm thế nào để yêu một người và làm thế nào để quên một người.
367,写给自己的第367封信 多情、 而是偏执地爱一个 野蛮、 一个人最大的缺点不是自私 任性， 不爱自己的人。,"Bức thư viết cho chính mình số 367 Một trong những khuyết điểm lớn nhất không phải là ích kỉ, đào hoa, tàn bạo, sống buông thả mà là cứ cố chấp để yêu một người không yêu mình."
368,写给自己的第368封信 谈恋爱， 这两种是完全不一样的。,"Bức thư viết cho chính mình số 368 Có người để bạn hẹn hò và có người để bạn kết hôn, đó là hai chuyện hoàn toàn khác nhau."
368,，而结婚 是他放弃了自己的路， 愿意和你走同一条路。,"Còn kết hôn là buộc anh ta từ bỏ con đường riêng của mình, nguyện đi cùng đường với bạn."
370,写给自己的第370封信 有心装着你， 有人对你好， 人心如此小， 是你的骄傲； 世界这么大， 失去什么也不肯把你丢掉。,"Bức thư viết cho chính mình số 370 Thế giới lớn như vậy, có người nào đó tốt với bạn là niềm kiêu hãnh của bạn."
375,写给自己的第375封信 也就变成了故 等时间长了， 有些事， 也许还更好， 你把它藏到心里， 而失去了自己。,Bức thư viết cho chính mình số 375 Một số việc bạn giấu nó thật sâu trong lòng có lẽ còn tốt hơn.
